epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
47,427.017,1.06361,0.74083,1.04978,0.96382,0.97019,0.98385,0.70124,0.98386,0.52475,1.00382,0.0023211,0.0007737,0.0023211,0.0007737,0.0023211,0.0007737,0.0023211,0.0007737
48,435.931,1.09699,0.76232,1.07274,0.95983,0.98459,0.98423,0.69585,1.00171,0.5218,1.00584,0.0022991,0.000766368,0.0022991,0.000766368,0.0022991,0.000766368,0.0022991,0.000766368
49,444.861,1.06446,0.76444,1.05719,0.96707,0.97434,0.98327,0.69213,0.99404,0.52839,1.00321,0.00227711,0.000759035,0.00227711,0.000759035,0.00227711,0.000759035,0.00227711,0.000759035
50,453.845,1.07484,0.72329,1.05637,0.96088,0.97853,0.98673,0.68422,1.01181,0.53192,1.00738,0.00225511,0.000751703,0.00225511,0.000751703,0.00225511,0.000751703,0.00225511,0.000751703
51,462.779,1.08834,0.71994,1.06423,0.96528,0.97482,0.98488,0.70057,0.99386,0.52303,1.00256,0.00223311,0.00074437,0.00223311,0.00074437,0.00223311,0.00074437,0.00223311,0.00074437
52,471.866,1.07693,0.72196,1.05982,0.9706,0.97414,0.98205,0.68964,1.01861,0.52615,1.01229,0.00221111,0.000737037,0.00221111,0.000737037,0.00221111,0.000737037,0.00221111,0.000737037
53,480.895,1.06389,0.72155,1.0504,0.97082,0.97692,0.98111,0.6924,0.99173,0.52702,1.00518,0.00218911,0.000729705,0.00218911,0.000729705,0.00218911,0.000729705,0.00218911,0.000729705
54,489.976,1.0545,0.73386,1.06174,0.97119,0.97541,0.98021,0.69574,0.97957,0.52373,1.00424,0.00216712,0.000722372,0.00216712,0.000722372,0.00216712,0.000722372,0.00216712,0.000722372
55,498.991,1.06332,0.71891,1.05209,0.97038,0.97603,0.98112,0.69224,0.98778,0.52777,0.99957,0.00214512,0.00071504,0.00214512,0.00071504,0.00214512,0.00071504,0.00214512,0.00071504
56,507.972,1.05273,0.72588,1.06413,0.96298,0.97319,0.9817,0.69633,0.98335,0.52252,1.00111,0.00212312,0.000707707,0.00212312,0.000707707,0.00212312,0.000707707,0.00212312,0.000707707
57,516.891,1.06328,0.72812,1.06059,0.96582,0.97082,0.98338,0.69277,0.97594,0.52796,0.99791,0.00210112,0.000700374,0.00210112,0.000700374,0.00210112,0.000700374,0.00210112,0.000700374
58,525.893,1.05538,0.72323,1.05862,0.96749,0.97183,0.98133,0.70277,0.96474,0.52363,0.99659,0.00207913,0.000693042,0.00207913,0.000693042,0.00207913,0.000693042,0.00207913,0.000693042
59,534.904,1.06139,0.72466,1.05663,0.96141,0.97218,0.98001,0.7068,0.95949,0.52279,0.9917,0.00205713,0.000685709,0.00205713,0.000685709,0.00205713,0.000685709,0.00205713,0.000685709
60,543.929,1.0628,0.72126,1.05614,0.96748,0.97651,0.97913,0.70131,0.98893,0.52378,1.00097,0.00203513,0.000678377,0.00203513,0.000678377,0.00203513,0.000678377,0.00203513,0.000678377
61,552.984,1.05548,0.70725,1.05048,0.96556,0.97767,0.97535,0.7102,0.96309,0.51933,0.99311,0.00201313,0.000671044,0.00201313,0.000671044,0.00201313,0.000671044,0.00201313,0.000671044
62,562,1.05894,0.72078,1.05612,0.96644,0.97339,0.97709,0.70446,0.97254,0.51714,1.00011,0.00199113,0.000663711,0.00199113,0.000663711,0.00199113,0.000663711,0.00199113,0.000663711
63,571.06,1.06372,0.72374,1.05345,0.96734,0.97447,0.98106,0.69716,0.98376,0.51269,1.00708,0.00196914,0.000656379,0.00196914,0.000656379,0.00196914,0.000656379,0.00196914,0.000656379
64,580.096,1.08262,0.72047,1.06508,0.96607,0.97679,0.98106,0.70058,0.97197,0.51987,1.00614,0.00194714,0.000649046,0.00194714,0.000649046,0.00194714,0.000649046,0.00194714,0.000649046
65,589.107,1.05273,0.72071,1.05894,0.96434,0.9791,0.98408,0.69774,0.97598,0.52518,1.00487,0.00192514,0.000641714,0.00192514,0.000641714,0.00192514,0.000641714,0.00192514,0.000641714
66,598.228,1.05352,0.72,1.05105,0.9686,0.97752,0.98343,0.70781,0.96055,0.51515,0.99535,0.00190314,0.000634381,0.00190314,0.000634381,0.00190314,0.000634381,0.00190314,0.000634381
67,607.338,1.04968,0.69606,1.04203,0.96885,0.97338,0.98247,0.70664,0.95953,0.50552,0.99186,0.00188115,0.000627048,0.00188115,0.000627048,0.00188115,0.000627048,0.00188115,0.000627048
68,616.354,1.04073,0.6975,1.05449,0.96998,0.97306,0.98281,0.70041,0.96646,0.50596,0.99749,0.00185915,0.000619716,0.00185915,0.000619716,0.00185915,0.000619716,0.00185915,0.000619716
69,625.476,1.0358,0.69483,1.0432,0.96766,0.97763,0.98021,0.7063,0.96587,0.51078,0.99459,0.00183715,0.000612383,0.00183715,0.000612383,0.00183715,0.000612383,0.00183715,0.000612383
70,634.544,1.0426,0.69316,1.03892,0.96813,0.97776,0.98169,0.7077,0.95614,0.50776,0.99247,0.00181515,0.000605051,0.00181515,0.000605051,0.00181515,0.000605051,0.00181515,0.000605051
71,643.693,1.05204,0.70187,1.05507,0.96778,0.97683,0.9801,0.71052,0.95684,0.50506,0.99242,0.00179315,0.000597718,0.00179315,0.000597718,0.00179315,0.000597718,0.00179315,0.000597718
72,652.769,1.045,0.68927,1.04529,0.96857,0.9751,0.97754,0.70433,0.97867,0.51059,0.99591,0.00177116,0.000590385,0.00177116,0.000590385,0.00177116,0.000590385,0.00177116,0.000590385
73,661.861,1.04046,0.68695,1.0531,0.96914,0.97385,0.9795,0.70107,0.98408,0.50933,0.99979,0.00174916,0.000583053,0.00174916,0.000583053,0.00174916,0.000583053,0.00174916,0.000583053
74,671.011,1.04999,0.68254,1.05299,0.96518,0.97771,0.97958,0.7042,0.97011,0.50888,0.99581,0.00172716,0.00057572,0.00172716,0.00057572,0.00172716,0.00057572,0.00172716,0.00057572
75,680.045,1.02518,0.67982,1.04086,0.96484,0.9728,0.98024,0.70073,0.97249,0.50597,0.99639,0.00170516,0.000568388,0.00170516,0.000568388,0.00170516,0.000568388,0.00170516,0.000568388
76,689.127,1.02666,0.67615,1.0392,0.96886,0.97643,0.98011,0.70687,0.9748,0.50534,0.99902,0.00168316,0.000561055,0.00168316,0.000561055,0.00168316,0.000561055,0.00168316,0.000561055
77,698.247,1.0416,0.67728,1.04269,0.96711,0.97929,0.97983,0.71421,0.9586,0.49852,0.99484,0.00166117,0.000553722,0.00166117,0.000553722,0.00166117,0.000553722,0.00166117,0.000553722
78,707.332,1.04909,0.68459,1.0498,0.96364,0.98015,0.9783,0.71237,0.97369,0.50816,0.99483,0.00163917,0.00054639,0.00163917,0.00054639,0.00163917,0.00054639,0.00163917,0.00054639
79,716.476,1.0283,0.69576,1.05471,0.96524,0.97824,0.97864,0.70788,0.9669,0.49901,0.9943,0.00161717,0.000539057,0.00161717,0.000539057,0.00161717,0.000539057,0.00161717,0.000539057
80,725.55,1.0282,0.66594,1.03394,0.96735,0.97928,0.97531,0.70584,0.96358,0.5065,0.99232,0.00159517,0.000531725,0.00159517,0.000531725,0.00159517,0.000531725,0.00159517,0.000531725
81,734.656,1.04315,0.68268,1.04641,0.96947,0.97671,0.97542,0.70009,0.95766,0.50949,0.99404,0.00157318,0.000524392,0.00157318,0.000524392,0.00157318,0.000524392,0.00157318,0.000524392
82,743.772,1.02335,0.67031,1.04401,0.96922,0.97685,0.97918,0.70819,0.95314,0.5005,0.99376,0.00155118,0.000517059,0.00155118,0.000517059,0.00155118,0.000517059,0.00155118,0.000517059
83,752.877,1.02826,0.66271,1.04025,0.96951,0.97612,0.97935,0.71253,0.9604,0.50079,0.99111,0.00152918,0.000509727,0.00152918,0.000509727,0.00152918,0.000509727,0.00152918,0.000509727
84,761.986,1.04021,0.67448,1.0462,0.96953,0.97694,0.97977,0.71166,0.96207,0.49952,0.99408,0.00150718,0.000502394,0.00150718,0.000502394,0.00150718,0.000502394,0.00150718,0.000502394
85,771.149,1.02332,0.67859,1.03923,0.96844,0.9777,0.98148,0.70683,0.97921,0.49875,0.99225,0.00148518,0.000495062,0.00148518,0.000495062,0.00148518,0.000495062,0.00148518,0.000495062
86,780.253,1.02828,0.66582,1.04087,0.96556,0.97759,0.98055,0.70987,0.95976,0.4932,0.98917,0.00146319,0.000487729,0.00146319,0.000487729,0.00146319,0.000487729,0.00146319,0.000487729
87,789.45,1.02361,0.66656,1.03717,0.96499,0.97908,0.98174,0.70733,0.96544,0.49291,0.99391,0.00144119,0.000480396,0.00144119,0.000480396,0.00144119,0.000480396,0.00144119,0.000480396
88,798.54,1.02723,0.66652,1.05003,0.96441,0.97776,0.97646,0.70942,0.95719,0.48848,0.99387,0.00141919,0.000473064,0.00141919,0.000473064,0.00141919,0.000473064,0.00141919,0.000473064
89,807.65,1.02312,0.68059,1.05366,0.96277,0.97642,0.97573,0.70448,0.96037,0.49409,0.99546,0.00139719,0.000465731,0.00139719,0.000465731,0.00139719,0.000465731,0.00139719,0.000465731
90,816.826,1.02556,0.66001,1.04662,0.96635,0.97712,0.97793,0.70685,0.95809,0.4821,0.99688,0.0013752,0.000458399,0.0013752,0.000458399,0.0013752,0.000458399,0.0013752,0.000458399
91,825.932,1.01031,0.65555,1.02643,0.96697,0.97753,0.97741,0.71037,0.96309,0.49056,0.99318,0.0013532,0.000451066,0.0013532,0.000451066,0.0013532,0.000451066,0.0013532,0.000451066
92,835.117,1.02293,0.66831,1.04118,0.96987,0.97792,0.9771,0.70576,0.96358,0.49701,0.9915,0.0013312,0.000443733,0.0013312,0.000443733,0.0013312,0.000443733,0.0013312,0.000443733
93,844.277,1.01466,0.65677,1.03897,0.96855,0.97313,0.98001,0.7124,0.9541,0.48882,0.98925,0.0013092,0.000436401,0.0013092,0.000436401,0.0013092,0.000436401,0.0013092,0.000436401
94,853.386,1.02511,0.65537,1.04655,0.96884,0.97739,0.97921,0.70954,0.9697,0.49333,0.99126,0.0012872,0.000429068,0.0012872,0.000429068,0.0012872,0.000429068,0.0012872,0.000429068
