epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
40,223.961,1.15142,1.08882,1.10813,0.98215,0.98824,0.98871,0.67449,1.06408,0.74619,1.04935,0.00247509,0.000825029,0.00247509,0.000825029,0.00247509,0.000825029,0.00247509,0.000825029
41,229.43,1.17445,1.08008,1.11537,0.98406,0.98675,0.989,0.68124,1.05574,0.73491,1.04753,0.00245309,0.000817696,0.00245309,0.000817696,0.00245309,0.000817696,0.00245309,0.000817696
42,234.937,1.15985,1.03666,1.10552,0.9861,0.98824,0.98846,0.67402,1.05277,0.71395,1.04567,0.00243109,0.000810363,0.00243109,0.000810363,0.00243109,0.000810363,0.00243109,0.000810363
43,240.44,1.17869,1.03016,1.1111,0.98641,0.98792,0.98898,0.68609,1.04402,0.70952,1.04748,0.00240909,0.000803031,0.00240909,0.000803031,0.00240909,0.000803031,0.00240909,0.000803031
44,245.952,1.15583,1.00977,1.1101,0.97971,0.98824,0.98966,0.68369,1.0579,0.68683,1.04462,0.00238709,0.000795698,0.00238709,0.000795698,0.00238709,0.000795698,0.00238709,0.000795698
45,251.471,1.16394,0.99178,1.09312,0.9826,0.98824,0.98892,0.68471,1.04823,0.67959,1.04871,0.0023651,0.000788366,0.0023651,0.000788366,0.0023651,0.000788366,0.0023651,0.000788366
46,256.952,1.16221,1.03703,1.12164,0.98438,0.98431,0.98936,0.68705,1.04954,0.67272,1.04645,0.0023431,0.000781033,0.0023431,0.000781033,0.0023431,0.000781033,0.0023431,0.000781033
47,262.451,1.1644,1.02237,1.1073,0.98074,0.98824,0.99063,0.6992,1.03067,0.66477,1.04081,0.0023211,0.0007737,0.0023211,0.0007737,0.0023211,0.0007737,0.0023211,0.0007737
48,268.015,1.17803,1.00971,1.1187,0.98073,0.98824,0.99044,0.68568,1.05287,0.65369,1.0444,0.0022991,0.000766368,0.0022991,0.000766368,0.0022991,0.000766368,0.0022991,0.000766368
49,273.51,1.16959,1.02118,1.11662,0.98195,0.98824,0.99068,0.69521,1.03096,0.64495,1.03859,0.00227711,0.000759035,0.00227711,0.000759035,0.00227711,0.000759035,0.00227711,0.000759035
50,279.007,1.14361,1.00173,1.09419,0.98461,0.98824,0.99048,0.69612,1.02534,0.63897,1.041,0.00225511,0.000751703,0.00225511,0.000751703,0.00225511,0.000751703,0.00225511,0.000751703
51,284.501,1.15105,1.01165,1.11141,0.98541,0.98635,0.98974,0.68915,1.04216,0.64006,1.03474,0.00223311,0.00074437,0.00223311,0.00074437,0.00223311,0.00074437,0.00223311,0.00074437
52,290.017,1.14548,1.00314,1.10635,0.98465,0.98276,0.98957,0.68455,1.03315,0.64542,1.03634,0.00221111,0.000737037,0.00221111,0.000737037,0.00221111,0.000737037,0.00221111,0.000737037
53,295.507,1.16147,0.98194,1.09835,0.98208,0.98824,0.98944,0.69298,1.03281,0.63991,1.03981,0.00218911,0.000729705,0.00218911,0.000729705,0.00218911,0.000729705,0.00218911,0.000729705
54,301.032,1.17467,1.00511,1.12276,0.9843,0.98942,0.98926,0.69119,1.03568,0.62773,1.0384,0.00216712,0.000722372,0.00216712,0.000722372,0.00216712,0.000722372,0.00216712,0.000722372
55,306.506,1.1799,1.0053,1.1236,0.98358,0.98713,0.98897,0.69424,1.041,0.62758,1.04279,0.00214512,0.00071504,0.00214512,0.00071504,0.00214512,0.00071504,0.00214512,0.00071504
56,312.001,1.16647,0.99682,1.10346,0.98276,0.98934,0.98932,0.70069,1.02821,0.62765,1.03551,0.00212312,0.000707707,0.00212312,0.000707707,0.00212312,0.000707707,0.00212312,0.000707707
57,317.519,1.16939,0.95139,1.10034,0.98315,0.98693,0.98959,0.70266,1.01123,0.61598,1.03515,0.00210112,0.000700374,0.00210112,0.000700374,0.00210112,0.000700374,0.00210112,0.000700374
58,323.009,1.16427,0.96129,1.09909,0.98418,0.98824,0.99015,0.69914,1.01371,0.61105,1.03419,0.00207913,0.000693042,0.00207913,0.000693042,0.00207913,0.000693042,0.00207913,0.000693042
59,328.51,1.14064,0.95553,1.10372,0.9849,0.98824,0.99091,0.70221,1.0183,0.60213,1.03534,0.00205713,0.000685709,0.00205713,0.000685709,0.00205713,0.000685709,0.00205713,0.000685709
60,334.024,1.1393,0.95877,1.10969,0.98327,0.98933,0.99043,0.69493,1.01826,0.59685,1.03273,0.00203513,0.000678377,0.00203513,0.000678377,0.00203513,0.000678377,0.00203513,0.000678377
